27-Nov-22 16:35:11 | DomainLogger | INFO | [RequestEnd]('ID=eefd7ada-acb0-4009-bcf9-3475214aabbb', "Server=('127.0.0.1', 5000),Method=GET,Url=/api/products/01499422-48a9-45f7-8c24-5fa3bdaf87ff") => ProccesTime=0.32119178771972656
27-Nov-22 16:35:12 | DomainLogger | INFO | [RequestStart]('ID=947d63f1-0f3c-4703-92a3-efcc28a4b754', "Server=('127.0.0.1', 5000),Method=GET,Url=/api/products/01499422-48a9-45f7-8c24-5fa3bdaf87ff")
27-Nov-22 16:35:12 | DomainLogger | INFO | [RequestEnd]('ID=947d63f1-0f3c-4703-92a3-efcc28a4b754', "Server=('127.0.0.1', 5000),Method=GET,Url=/api/products/01499422-48a9-45f7-8c24-5fa3bdaf87ff") => ProccesTime=0.40477705001831055
27-Nov-22 16:35:13 | DomainLogger | INFO | [RequestStart]('ID=ef2bd3a2-9aaf-427b-8b18-93973c74e6a5', "Server=('127.0.0.1', 5000),Method=GET,Url=/api/products/01499422-48a9-45f7-8c24-5fa3bdaf87ff")
27-Nov-22 16:35:14 | DomainLogger | INFO | [RequestEnd]('ID=ef2bd3a2-9aaf-427b-8b18-93973c74e6a5', "Server=('127.0.0.1', 5000),Method=GET,Url=/api/products/01499422-48a9-45f7-8c24-5fa3bdaf87ff") => ProccesTime=0.32137537002563477
27-Nov-22 16:35:15 | DomainLogger | INFO | [RequestStart]('ID=6bc08a2c-23d2-42ad-a76c-280f3a67a1b0', "Server=('127.0.0.1', 5000),Method=GET,Url=/api/products/01499422-48a9-45f7-8c24-5fa3bdaf87ff")
27-Nov-22 16:35:15 | DomainLogger | INFO | [RequestEnd]('ID=6bc08a2c-23d2-42ad-a76c-280f3a67a1b0', "Server=('127.0.0.1', 5000),Method=GET,Url=/api/products/01499422-48a9-45f7-8c24-5fa3bdaf87ff") => ProccesTime=0.4033796787261963
27-Nov-22 16:35:16 | DomainLogger | INFO | [RequestStart]('ID=7325c794-88f2-4f82-9828-dc658bee7fd9', "Server=('127.0.0.1', 5000),Method=GET,Url=/api/products/01499422-48a9-45f7-8c24-5fa3bdaf87ff")
27-Nov-22 16:35:16 | DomainLogger | INFO | [RequestEnd]('ID=7325c794-88f2-4f82-9828-dc658bee7fd9', "Server=('127.0.0.1', 5000),Method=GET,Url=/api/products/01499422-48a9-45f7-8c24-5fa3bdaf87ff") => ProccesTime=0.4069392681121826
27-Nov-22 16:39:09 | DomainLogger | INFO | [RequestStart]('ID=677efcfc-bfb3-48be-a8bc-1a07980580eb', "Server=('127.0.0.1', 5000),Method=POST,Url=/api/products")
27-Nov-22 16:39:09 | DomainLogger | INFO | [RequestEnd]('ID=677efcfc-bfb3-48be-a8bc-1a07980580eb', "Server=('127.0.0.1', 5000),Method=POST,Url=/api/products") => ProccesTime=0.001659393310546875
27-Nov-22 16:39:09 | DomainLogger | INFO | [RequestStart]('ID=1c86e401-79d6-4cbb-b0d1-9ae910d6b077', "Server=('127.0.0.1', 5000),Method=POST,Url=/api/products/")
27-Nov-22 16:39:31 | DomainLogger | INFO | [RequestStart]('ID=61a4268c-c6a4-4870-95bd-71acd75cfd97', "Server=('127.0.0.1', 5000),Method=POST,Url=/api/products/")
27-Nov-22 16:40:08 | DomainLogger | INFO | [RequestStart]('ID=2c56f862-2e36-4513-964f-7c8b6bc8521e', "Server=('127.0.0.1', 5000),Method=POST,Url=/api/products/")
27-Nov-22 16:40:08 | DomainLogger | INFO | [RequestEnd]('ID=2c56f862-2e36-4513-964f-7c8b6bc8521e', "Server=('127.0.0.1', 5000),Method=POST,Url=/api/products/") => ProccesTime=0.005430936813354492
27-Nov-22 16:40:18 | DomainLogger | INFO | [RequestStart]('ID=74128df4-c625-4a19-9d03-067f37d0a6ec', "Server=('127.0.0.1', 5000),Method=POST,Url=/api/products")
27-Nov-22 16:40:18 | DomainLogger | INFO | [RequestEnd]('ID=74128df4-c625-4a19-9d03-067f37d0a6ec', "Server=('127.0.0.1', 5000),Method=POST,Url=/api/products") => ProccesTime=0.0007693767547607422
27-Nov-22 16:40:18 | DomainLogger | INFO | [RequestStart]('ID=5fdf7637-fdff-4a8c-b6a9-0fd7f7024e82', "Server=('127.0.0.1', 5000),Method=POST,Url=/api/products/")
27-Nov-22 16:40:18 | DomainLogger | INFO | [RequestEnd]('ID=5fdf7637-fdff-4a8c-b6a9-0fd7f7024e82', "Server=('127.0.0.1', 5000),Method=POST,Url=/api/products/") => ProccesTime=0.0016727447509765625
28-Nov-22 10:47:01 | DomainLogger | INFO | [RequestStart]('ID=ce85ca56-7838-47ac-8915-920124b032d4', "Server=('127.0.0.1', 5000),Method=GET,Url=/docs")
28-Nov-22 10:47:01 | DomainLogger | INFO | [RequestEnd]('ID=ce85ca56-7838-47ac-8915-920124b032d4', "Server=('127.0.0.1', 5000),Method=GET,Url=/docs") => ProccesTime=0.001672506332397461
28-Nov-22 10:47:01 | DomainLogger | INFO | [RequestStart]('ID=8c20ea79-2771-4d50-9141-05b5207d85a5', "Server=('127.0.0.1', 5000),Method=GET,Url=/openapi.json")
28-Nov-22 10:47:01 | DomainLogger | INFO | [RequestEnd]('ID=8c20ea79-2771-4d50-9141-05b5207d85a5', "Server=('127.0.0.1', 5000),Method=GET,Url=/openapi.json") => ProccesTime=0.00939488410949707
28-Nov-22 10:47:04 | DomainLogger | INFO | [RequestStart]('ID=b8c1f95e-f1ae-43d0-a71c-9c36f1e12731', "Server=('127.0.0.1', 5000),Method=GET,Url=/docs")
28-Nov-22 10:47:04 | DomainLogger | INFO | [RequestEnd]('ID=b8c1f95e-f1ae-43d0-a71c-9c36f1e12731', "Server=('127.0.0.1', 5000),Method=GET,Url=/docs") => ProccesTime=0.0007772445678710938
28-Nov-22 10:47:05 | DomainLogger | INFO | [RequestStart]('ID=58f7e791-7245-4209-9e32-6c6904cb5bbc', "Server=('127.0.0.1', 5000),Method=GET,Url=/openapi.json")
28-Nov-22 10:47:05 | DomainLogger | INFO | [RequestEnd]('ID=58f7e791-7245-4209-9e32-6c6904cb5bbc', "Server=('127.0.0.1', 5000),Method=GET,Url=/openapi.json") => ProccesTime=0.0009338855743408203
